no,date,honsuji1,honsuji2,honsuji3,honsuji4,honsuji5,honsuji6,honsuji7,bonus_suji1,bonus_suji2
131,20151016,03,04,12,17,32,34,36,23,31
132,20151023,07,10,14,16,20,30,31,35,37
133,20151030,03,07,13,15,17,21,30,14,27
134,20151106,04,09,20,28,30,34,35,12,29
135,20151113,08,09,13,14,24,32,34,03,04
136,20151120,10,17,24,27,30,33,37,18,31
137,20151127,13,19,21,25,27,32,35,16,20
138,20151204,02,05,17,20,21,32,33,30,35
139,20151211,09,16,18,21,23,34,35,04,36
140,20151218,03,11,12,13,17,26,35,01,33
141,20151225,02,10,18,30,31,32,36,21,29
142,20160108,06,12,14,18,21,27,28,01,33
143,20160115,01,03,08,14,28,29,33,04,31
144,20160122,02,09,13,18,22,32,36,17,26
145,20160129,10,12,18,28,29,30,35,04,19
146,20160205,04,10,25,27,28,33,34,15,35
147,20160212,01,05,07,12,15,24,25,08,14
148,20160219,01,09,11,16,20,30,34,12,33
149,20160226,01,04,15,19,22,23,31,12,32
150,20160304,06,07,14,20,27,31,34,11,24
151,20160311,09,10,13,15,21,22,24,04,08
152,20160318,08,12,17,21,23,24,31,06,07
153,20160325,07,09,10,16,20,28,37,02,33
154,20160401,02,04,19,21,24,28,35,03,13
155,20160408,02,09,13,18,22,24,26,10,37
156,20160415,04,09,16,19,22,33,34,17,36
157,20160422,05,09,16,26,28,29,32,01,37
158,20160429,03,06,07,30,32,36,37,05,20
159,20160506,10,14,17,21,23,27,31,16,24
160,20160513,01,02,08,24,32,36,37,23,33
161,20160520,08,14,17,18,20,22,34,04,30
162,20160527,02,07,08,12,14,23,27,06,10
163,20160603,01,02,06,16,28,30,31,03,07
164,20160610,03,13,20,23,31,35,36,02,11
165,20160617,09,11,14,15,16,18,27,06,20
166,20160624,14,20,27,29,30,31,37,23,34
167,20160701,01,03,05,07,10,26,36,19,37
168,20160708,03,09,12,14,19,20,36,02,05
169,20160715,01,05,10,20,21,28,30,25,26
170,20160722,03,05,06,09,27,32,36,12,24
171,20160729,01,02,06,21,23,27,28,11,16
172,20160805,05,20,21,27,30,31,36,09,26
173,20160812,07,09,19,22,24,27,30,04,28
174,20160819,10,13,14,15,23,31,32,04,29
175,20160826,06,17,21,31,33,35,37,14,18
176,20160902,01,11,12,17,22,30,35,15,16
177,20160909,09,15,19,23,25,34,36,02,35
178,20160916,06,09,11,15,26,34,36,13,37
179,20160923,04,09,12,13,22,26,36,05,33
180,20160930,01,08,11,21,23,25,28,05,37
181,20161007,07,08,10,13,19,23,24,15,27
182,20161014,01,07,10,11,20,23,30,03,37
183,20161021,06,15,20,26,33,34,37,19,29
184,20161028,07,14,18,22,23,26,34,02,32
185,20161104,01,02,04,16,26,29,34,11,12
186,20161111,05,14,16,19,31,33,37,21,28
187,20161118,04,06,10,23,24,32,36,15,31
188,20161125,06,15,19,25,26,30,31,14,18
189,20161202,03,07,08,10,18,23,35,01,19
190,20161209,02,11,12,18,21,33,36,08,34
191,20161216,08,15,21,24,26,27,29,07,30
192,20161223,12,13,14,19,25,33,34,03,22
193,20161230,04,06,20,21,22,24,31,09,10
194,20170106,03,06,27,30,31,32,36,14,23
195,20170113,04,07,12,20,23,24,31,26,35
196,20170120,07,13,15,25,30,32,37,08,14
197,20170127,06,08,10,12,16,21,28,14,23
198,20170203,18,21,31,32,33,36,37,05,25
199,20170210,01,09,17,20,22,28,29,13,16
200,20170217,13,14,17,21,27,28,34,01,11
201,20170224,08,11,17,24,28,31,32,12,34
202,20170303,03,07,11,16,22,34,37,29,32
203,20170310,06,13,17,22,32,33,36,12,28
204,20170317,05,19,20,21,30,34,36,07,12
205,20170324,04,05,19,31,35,36,37,27,32
206,20170331,01,06,07,11,27,35,36,22,26
207,20170407,04,05,10,13,28,32,33,19,26
208,20170414,04,13,16,18,22,26,33,27,29
209,20170421,03,04,06,13,22,31,36,28,34
210,20170428,02,04,06,11,15,19,36,23,34
211,20170505,07,15,22,25,31,32,35,29,36
212,20170512,04,06,10,19,20,24,29,01,27
