no,date,honsuji1,honsuji2,honsuji3,honsuji4,honsuji5,honsuji6,bonus_suji1
158,20031023,01,06,12,35,37,38,30
159,20031030,12,23,30,31,38,42,06
160,20031106,04,10,20,30,31,32,26
161,20031113,23,26,28,33,38,42,08
162,20031120,03,22,25,30,33,37,35
163,20031127,02,03,11,17,24,34,28
164,20031204,01,02,13,14,35,38,32
165,20031211,09,11,16,21,25,36,10
166,20031218,14,18,20,28,34,38,17
167,20031225,10,14,17,19,29,42,02
168,20040108,01,06,31,32,36,39,42
169,20040115,03,15,17,19,26,36,39
170,20040122,10,12,15,17,30,31,06
171,20040129,05,06,17,23,32,33,39
172,20040205,10,11,22,23,33,34,27
173,20040212,06,10,22,30,31,35,18
174,20040219,02,09,16,36,38,42,06
175,20040226,02,03,10,22,28,40,43
176,20040304,08,19,25,31,34,37,30
177,20040311,06,18,19,30,36,41,27
178,20040318,10,22,27,30,36,39,04
179,20040325,03,06,11,13,15,16,23
180,20040401,04,10,11,12,20,36,28
181,20040408,01,02,07,21,29,30,23
182,20040415,22,23,28,37,40,43,30
183,20040422,14,29,31,36,38,40,33
184,20040429,05,07,23,31,39,42,19
185,20040506,08,13,14,18,35,41,33
186,20040513,07,16,18,33,36,41,04
187,20040520,12,21,22,27,39,40,25
188,20040527,03,08,18,25,26,39,38
189,20040603,03,32,35,36,39,40,05
190,20040610,17,23,30,31,39,43,42
191,20040617,04,07,25,27,34,43,35
192,20040624,03,07,19,27,39,41,10
193,20040701,03,04,18,31,40,43,22
194,20040708,04,11,12,21,36,38,37
195,20040715,05,10,12,22,26,41,19
196,20040722,04,05,11,16,30,33,14
197,20040729,09,10,17,22,28,30,19
198,20040805,04,05,06,17,20,42,10
199,20040812,03,14,24,25,33,36,41
200,20040819,04,07,11,19,25,28,02
201,20040826,10,13,16,17,24,39,43
202,20040902,09,18,26,28,33,40,10
203,20040909,12,18,20,27,35,37,39
204,20040916,02,17,20,25,39,42,30
205,20040923,04,07,09,16,18,34,26
206,20040930,01,03,16,22,41,43,13
207,20041007,17,21,23,30,31,34,05
208,20041014,18,24,29,32,35,39,23
209,20041021,08,27,30,35,40,41,09
210,20041028,01,06,21,22,37,40,19
211,20041104,10,14,23,26,33,36,24
212,20041111,01,11,17,32,35,39,20
213,20041118,04,07,18,26,29,43,08
214,20041125,04,07,09,11,20,36,32
215,20041202,01,04,13,18,22,31,30
216,20041209,09,21,29,33,35,41,27
217,20041216,08,19,23,27,29,39,28
218,20041223,08,10,18,22,31,36,04
219,20041230,27,28,29,34,35,39,33
220,20050106,23,25,26,29,33,37,40
221,20050113,08,27,30,31,38,42,13
222,20050120,04,14,15,22,29,31,20
223,20050127,07,09,19,26,30,32,03
224,20050203,12,17,18,19,30,35,13
225,20050210,09,11,21,31,35,38,13
226,20050217,08,26,36,40,42,43,21
227,20050224,06,13,17,29,32,36,35
228,20050303,05,08,17,26,36,39,34
229,20050310,08,16,21,24,27,36,20
230,20050317,04,09,18,31,36,42,34
231,20050324,01,04,06,16,18,43,41
232,20050331,01,05,07,26,39,43,32
233,20050407,06,18,26,40,41,42,09
234,20050414,11,17,24,26,27,30,19
235,20050421,06,21,23,24,28,39,38
236,20050428,01,08,09,14,34,38,04
237,20050505,01,03,11,13,27,37,30
238,20050512,05,10,15,20,33,37,30
239,20050519,04,09,18,30,31,40,24
240,20050526,11,15,26,31,36,39,12
241,20050602,08,14,27,33,36,40,20
242,20050609,01,10,13,22,29,32,38
243,20050616,05,34,35,38,42,43,08
244,20050623,11,12,30,36,38,39,37
245,20050630,03,06,18,24,28,36,21
246,20050707,16,28,32,34,39,42,38
247,20050714,08,16,30,32,34,39,13
248,20050721,11,32,35,36,39,41,06
249,20050728,01,03,17,23,33,35,18
250,20050804,03,08,09,13,22,42,11
251,20050811,02,12,19,25,29,36,26
252,20050818,02,06,13,22,32,33,12
253,20050825,15,16,19,22,36,43,13
254,20050901,12,13,22,23,25,29,40
255,20050908,06,07,12,17,34,42,08
256,20050915,15,17,18,28,30,37,40
257,20050922,07,15,29,30,39,40,11
258,20050929,03,15,16,17,25,31,40
259,20051006,01,12,15,23,34,42,27
260,20051013,11,15,21,31,37,41,30
261,20051020,06,17,18,21,35,41,32
262,20051027,05,07,11,19,21,25,27
263,20051103,01,05,13,22,39,41,04
264,20051110,02,05,06,08,20,27,43
265,20051117,02,03,16,22,23,28,40
266,20051124,11,15,18,24,30,39,07
267,20051201,03,05,08,22,35,38,41
268,20051208,03,06,08,14,24,36,15
269,20051215,01,10,13,15,21,23,36
270,20051222,17,19,21,29,33,38,30
271,20051229,09,10,19,25,40,41,08
272,20060105,07,12,13,20,23,26,41
273,20060112,04,18,20,21,29,40,37
274,20060119,04,05,14,27,31,39,06
275,20060126,04,13,15,31,33,40,08
276,20060202,06,11,27,30,33,36,34
277,20060209,07,09,18,20,30,38,23
278,20060216,09,13,14,17,22,38,33
279,20060223,07,11,12,23,30,43,27
280,20060302,06,12,26,37,38,39,25
281,20060309,03,09,10,11,19,35,30
282,20060316,01,09,17,31,41,43,23
283,20060323,06,09,16,22,27,37,36
284,20060330,20,26,30,33,35,38,04
285,20060406,01,03,09,14,16,29,37
286,20060413,10,11,14,28,31,41,03
287,20060420,01,05,18,34,35,39,07
288,20060427,03,04,11,25,28,33,35
289,20060504,07,09,12,17,34,38,03
290,20060511,11,13,15,17,22,43,08
291,20060518,10,15,20,28,41,43,19
292,20060525,07,14,27,31,34,39,40
293,20060601,06,08,15,17,36,43,38
294,20060608,02,05,13,14,17,20,21
295,20060615,09,12,18,20,37,43,05
296,20060622,04,19,27,30,31,37,10
297,20060629,06,08,09,20,38,40,02
298,20060706,12,25,29,31,35,40,26
299,20060713,02,04,05,17,35,41,18
300,20060720,04,07,29,33,36,39,09
301,20060727,04,05,06,09,10,11,33
302,20060803,02,04,13,23,38,40,24
303,20060810,04,24,31,35,37,39,13
304,20060817,03,07,08,15,17,31,27
305,20060824,01,02,05,23,31,34,43
306,20060831,01,20,25,28,31,42,02
307,20060907,01,07,11,32,33,40,27
308,20060914,03,13,18,20,23,28,35
309,20060921,01,04,26,36,41,42,09
310,20060928,03,04,05,18,28,37,26
311,20061005,01,16,22,36,37,42,34
312,20061012,02,17,22,29,38,42,16
313,20061019,01,19,21,31,32,40,33
314,20061026,03,08,14,30,38,43,06
315,20061102,01,02,17,24,40,41,31
316,20061109,03,04,20,30,40,41,31
317,20061116,07,08,15,30,35,36,40
318,20061123,02,07,13,16,36,37,41
319,20061130,15,20,23,28,37,40,17
320,20061207,01,05,25,27,38,41,09
321,20061214,21,29,31,36,38,41,10
322,20061221,18,19,22,25,35,42,36
323,20061228,09,11,21,23,33,39,26
324,20070104,05,13,27,37,39,41,36
325,20070111,06,07,18,29,33,39,43
326,20070118,01,07,09,14,23,43,19
327,20070125,06,12,14,28,31,36,35
328,20070201,03,07,10,12,19,36,35
329,20070208,06,08,15,17,39,40,37
330,20070215,05,12,16,19,28,39,34
331,20070222,02,08,17,24,32,38,35
332,20070301,07,08,16,24,26,34,19
333,20070308,01,05,07,15,41,42,38
334,20070315,11,14,17,18,34,36,23
335,20070322,04,05,10,23,36,42,08
336,20070329,03,06,13,17,20,29,11
337,20070405,05,15,16,20,34,39,29
338,20070412,08,10,25,31,39,40,35
339,20070419,03,05,09,26,34,36,12
340,20070426,04,10,13,31,35,42,07
